0,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,
65000,2,1,3,4,5,6,7,8,8,10,11,12,13,14,14,15,17,18,19,19,20,21,23,24,25,25,26,28,29,29,30,31,33,34,35,36,37,38,39,39,40,42,42,44,45,45,46,48,49,50,50,51,52,54,55,56,57,58,58,
65000,0,1,2,3,4,5,6,7,7,9,10,11,12,13,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31,33,34,35,36,37,38,38,39,40,42,42,44,44,46,47,48,49,49,50,51,52,54,55,56,57,57,
65000,2,3,2,1,2,4,5,5,6,7,9,10,10,12,12,13,15,15,17,18,19,20,21,22,23,23,25,26,27,27,28,29,30,31,33,34,35,36,37,37,38,39,40,42,42,44,45,46,47,48,48,49,50,51,52,54,55,56,56,
65000,3,4,0,1,1,3,4,5,5,6,8,9,10,11,11,13,14,14,15,17,18,19,20,21,22,23,24,25,26,26,28,29,30,31,31,33,34,35,36,37,38,39,40,41,42,42,44,45,46,47,48,49,50,51,52,53,54,55,55,
65000,3,4,1,2,0,2,3,4,4,5,7,8,9,10,10,12,13,13,15,15,17,18,19,20,21,21,23,24,25,25,26,28,29,30,30,31,33,34,35,36,37,38,39,40,41,42,42,44,45,46,46,48,49,50,51,52,53,54,54,
65000,5,6,3,4,1,2,2,2,3,4,5,7,7,9,9,10,12,12,13,14,15,17,18,19,20,20,21,23,24,24,25,26,28,29,29,30,31,33,34,35,36,37,38,39,40,40,42,42,44,45,45,46,48,49,50,51,52,53,53,
65000,6,7,4,5,2,3,0,1,2,3,4,6,6,8,8,9,11,11,13,13,14,15,17,18,19,19,20,21,23,23,24,25,26,28,28,29,30,31,33,33,35,36,37,38,39,39,40,42,42,44,44,45,46,48,49,50,51,52,52,
65000,7,8,4,5,3,3,0,1,1,2,4,5,5,7,7,9,10,10,12,12,13,15,16,17,18,19,20,21,22,22,23,25,26,27,27,28,29,30,31,33,34,35,36,37,38,38,39,40,42,43,44,45,46,47,48,49,50,51,51,
65000,7,7,5,6,3,2,1,2,0,2,3,4,5,6,7,8,9,10,11,11,13,14,15,16,17,18,19,20,21,21,23,24,25,26,26,28,29,30,31,31,33,34,35,36,37,38,39,40,41,42,42,44,45,46,47,48,49,50,50,
